0.010000 12815800.000000 59300.042969 59546.777344 
0.020000 22420084.000000 9627293.000000 9653993.000000 
0.030000 50556920.000000 37755944.000000 37789004.000000 
0.040000 80416592.000000 67614864.000000 67648360.000000 
0.050000 110526000.000000 97724120.000000 97757704.000000 
0.060000 140719200.000000 127912304.000000 127945920.000000 
0.070000 170954656.000000 158144384.000000 158178032.000000 
0.080000 201194656.000000 188384384.000000 188418032.000000 
0.090000 231439408.000000 218629120.000000 218662784.000000 
0.100000 261695408.000000 248885120.000000 248918784.000000 
0.110000 291938976.000000 279135456.000000 279169120.000000 
0.120000 322178976.000000 309375456.000000 309409120.000000 
0.130000 352418976.000000 339615456.000000 339649120.000000 
0.140000 382658976.000000 369855456.000000 369889120.000000 
0.150000 412898976.000000 400095456.000000 400129120.000000 
0.160000 443138976.000000 430335456.000000 430369120.000000 
0.170000 473378976.000000 460575456.000000 460609120.000000 
0.180000 503618976.000000 490815456.000000 490849120.000000 
0.190000 533858976.000000 521055456.000000 521089120.000000 
0.200000 564185408.000000 551341248.000000 551375040.000000 
0.210000 594521408.000000 581677248.000000 581711040.000000 
0.220000 624857408.000000 612013248.000000 612047040.000000 
0.230000 655193408.000000 642349248.000000 642383040.000000 
0.240000 685529408.000000 672685248.000000 672719040.000000 
0.250000 715865408.000000 703021248.000000 703055040.000000 
0.260000 746201408.000000 733357248.000000 733391040.000000 
0.270000 776537408.000000 763693248.000000 763727040.000000 
0.280000 806873408.000000 794029248.000000 794063040.000000 
0.290000 837209408.000000 824365248.000000 824399040.000000 
0.300000 867545408.000000 854701248.000000 854735040.000000 
0.310000 897881408.000000 885037248.000000 885071040.000000 
0.320000 928217408.000000 915373248.000000 915407040.000000 
0.330000 958553408.000000 945709248.000000 945743040.000000 
0.340000 988889408.000000 976045248.000000 976079040.000000 
0.350000 1019225408.000000 1006381248.000000 1006415040.000000 
0.360000 1049561408.000000 1036717248.000000 1036751040.000000 
0.370000 1079871488.000000 1067053248.000000 1067087040.000000 
0.380000 1110079488.000000 1097289600.000000 1097323136.000000 
0.390000 1140287488.000000 1127497600.000000 1127531136.000000 
0.400000 1170495488.000000 1157705600.000000 1157739136.000000 
0.410000 1200703488.000000 1187913600.000000 1187947136.000000 
0.420000 1230911488.000000 1218121600.000000 1218155136.000000 
0.430000 1261119488.000000 1248329600.000000 1248363136.000000 
0.440000 1291327488.000000 1278537600.000000 1278571136.000000 
0.450000 1321535488.000000 1308745600.000000 1308779136.000000 
0.460000 1351743488.000000 1338953600.000000 1338987136.000000 
0.470000 1381951488.000000 1369161600.000000 1369195136.000000 
0.480000 1412159488.000000 1399369600.000000 1399403136.000000 
0.490000 1442367488.000000 1429577600.000000 1429611136.000000 
0.500000 1472575488.000000 1459785600.000000 1459819136.000000 
0.510000 1502783488.000000 1489993600.000000 1490027136.000000 
0.520000 1532991488.000000 1520201600.000000 1520235136.000000 
0.530000 1563199488.000000 1550409600.000000 1550443136.000000 
0.540000 1593407488.000000 1580617600.000000 1580651136.000000 
0.550000 1623615488.000000 1610825600.000000 1610859136.000000 
0.560000 1653823488.000000 1641033600.000000 1641067136.000000 
0.570000 1684031488.000000 1671241600.000000 1671275136.000000 
0.580000 1714239488.000000 1701449600.000000 1701483136.000000 
0.590000 1744447488.000000 1731657600.000000 1731691136.000000 
0.600000 1774655488.000000 1761865600.000000 1761899136.000000 
0.610000 1804863488.000000 1792073600.000000 1792107136.000000 
0.620000 1835071488.000000 1822281600.000000 1822315136.000000 
0.630000 1865279488.000000 1852489600.000000 1852523136.000000 
0.640000 1895487488.000000 1882697600.000000 1882731136.000000 
0.650000 1925695488.000000 1912905600.000000 1912939136.000000 
0.660000 1955903488.000000 1943113600.000000 1943147136.000000 
0.670000 1986111488.000000 1973321600.000000 1973355136.000000 
0.680000 2016319488.000000 2003529600.000000 2003563136.000000 
0.690000 2046527488.000000 2033737600.000000 2033771136.000000 
0.700000 2076735488.000000 2063945600.000000 2063979136.000000 
0.710000 2106943488.000000 2094153600.000000 2094187136.000000 
0.720000 2137151488.000000 2124361600.000000 2124395136.000000 
0.730000 2167527936.000000 2154629376.000000 2154663424.000000 
0.740000 2197991936.000000 2185093376.000000 2185127424.000000 
0.750000 2228455936.000000 2215557376.000000 2215591424.000000 
0.760000 2258919936.000000 2246021376.000000 2246055424.000000 
0.770000 2289383936.000000 2276485376.000000 2276519424.000000 
0.780000 2319847936.000000 2306949376.000000 2306983424.000000 
0.790000 2350311936.000000 2337413376.000000 2337447424.000000 
0.800000 2380775936.000000 2367877376.000000 2367911424.000000 
0.810000 2411239936.000000 2398341376.000000 2398375424.000000 
0.820000 2441703936.000000 2428805376.000000 2428839424.000000 
0.830000 2472167936.000000 2459269376.000000 2459303424.000000 
0.840000 2502631936.000000 2489733376.000000 2489767424.000000 
0.850000 2533095936.000000 2520197376.000000 2520231424.000000 
0.860000 2563559936.000000 2550661376.000000 2550695424.000000 
0.870000 2594023936.000000 2581125376.000000 2581159424.000000 
0.880000 2624487936.000000 2611589376.000000 2611623424.000000 
0.890000 2654951936.000000 2642053376.000000 2642087424.000000 
0.900000 2685415936.000000 2672517376.000000 2672551424.000000 
0.910000 2715879936.000000 2702981376.000000 2703015424.000000 
0.920000 2746343936.000000 2733445376.000000 2733479424.000000 
0.930000 2776807936.000000 2763909376.000000 2763943424.000000 
0.940000 2807271936.000000 2794373376.000000 2794407424.000000 
0.950000 2837735936.000000 2824837376.000000 2824871424.000000 
0.960000 2868199936.000000 2855301376.000000 2855335424.000000 
